Time,Open,High,Low,Close,Volume
01.08.2017 02:00:00.000 GMT+0200,1.18207,1.18389,1.17852,1.18109,226683640625
02.08.2017 02:00:00.000 GMT+0200,1.18113,1.19100,1.17937,1.18514,233360750000
03.08.2017 02:00:00.000 GMT+0200,1.18514,1.18930,1.18305,1.18822,221491578125
04.08.2017 02:00:00.000 GMT+0200,1.18822,1.18891,1.17281,1.17730,215736953125
06.08.2017 02:00:00.000 GMT+0200,1.17734,1.17929,1.17706,1.17769,14147669921.875
07.08.2017 02:00:00.000 GMT+0200,1.17769,1.18140,1.17766,1.17995,182387687500
08.08.2017 02:00:00.000 GMT+0200,1.17995,1.18238,1.17151,1.17540,209521656250
09.08.2017 02:00:00.000 GMT+0200,1.17540,1.17699,1.16891,1.17631,272394625000
10.08.2017 02:00:00.000 GMT+0200,1.17631,1.17851,1.17041,1.17700,226661125000
11.08.2017 02:00:00.000 GMT+0200,1.17700,1.18472,1.17485,1.18199,210383687500
13.08.2017 02:00:00.000 GMT+0200,1.18200,1.18275,1.18180,1.18252,9096889648.4375
14.08.2017 02:00:00.000 GMT+0200,1.18251,1.18382,1.17682,1.17755,206699609375
