Local time,Open,High,Low,Close,Volume
19.10.2016 22:00:00.000 GMT+0200,1.09696,1.09802,1.09689,1.09744,68135359863.281296
20.10.2016 02:00:00.000 GMT+0200,1.09744,1.09797,1.09643,1.09707,132875410156.25
20.10.2016 06:00:00.000 GMT+0200,1.09707,1.09776,1.09523,1.09748,150844119140.625
20.10.2016 10:00:00.000 GMT+0200,1.09747,1.09874,1.09612,1.09760,225471167968.75
20.10.2016 14:00:00.000 GMT+0200,1.09760,1.10392,1.09159,1.09336,261309335937.5
20.10.2016 18:00:00.000 GMT+0200,1.09335,1.09459,1.09254,1.09268,180833585937.5
20.10.2016 22:00:00.000 GMT+0200,1.09269,1.09297,1.09232,1.09293,63668659423.8281
21.10.2016 02:00:00.000 GMT+0200,1.09293,1.09295,1.08959,1.09044,122598589843.75
21.10.2016 06:00:00.000 GMT+0200,1.09044,1.09121,1.08814,1.08817,163648087890.625
21.10.2016 10:00:00.000 GMT+0200,1.08817,1.09041,1.08777,1.08890,233730121093.75
21.10.2016 14:00:00.000 GMT+0200,1.08890,1.08892,1.08592,1.08658,260006781250
21.10.2016 18:00:00.000 GMT+0200,1.08658,1.08811,1.08596,1.08807,140826839843.75
21.10.2016 22:00:00.000 GMT+0200,1.08808,1.08891,1.08789,1.08818,30747880859.375
23.10.2016 22:00:00.000 GMT+0200,1.08811,1.08843,1.08742,1.08800,42526079467.7734
24.10.2016 02:00:00.000 GMT+0200,1.08800,1.08840,1.08596,1.08678,152252421875
24.10.2016 06:00:00.000 GMT+0200,1.08678,1.08926,1.08645,1.08852,158766390625
24.10.2016 10:00:00.000 GMT+0200,1.08854,1.08996,1.08850,1.08896,94124831054.6875
24.10.2016 14:00:00.000 GMT+0200,1.08896,1.08986,1.08761,1.08868,52626050781.25
24.10.2016 18:00:00.000 GMT+0200,1.08870,1.08874,1.08699,1.08737,23208040527.3438
24.10.2016 22:00:00.000 GMT+0200,1.08736,1.08825,1.08682,1.08729,10946739868.164099
25.10.2016 02:00:00.000 GMT+0200,1.08730,1.08802,1.08680,1.08795,17255790283.2032
25.10.2016 06:00:00.000 GMT+0200,1.08794,1.08861,1.08690,1.08749,26162889648.4376
25.10.2016 10:00:00.000 GMT+0200,1.08748,1.08935,1.08735,1.08754,39400069335.9375
25.10.2016 14:00:00.000 GMT+0200,1.08753,1.08968,1.08511,1.08888,67698980468.75
25.10.2016 18:00:00.000 GMT+0200,1.08890,1.09050,1.08829,1.08895,34717940429.6875
25.10.2016 22:00:00.000 GMT+0200,1.08895,1.08922,1.08839,1.08861,7913789916.9923
26.10.2016 02:00:00.000 GMT+0200,1.08860,1.08921,1.08744,1.08895,18551030029.296997
26.10.2016 06:00:00.000 GMT+0200,1.08892,1.09193,1.08843,1.09174,29370539550.7813
26.10.2016 10:00:00.000 GMT+0200,1.09174,1.09331,1.09111,1.09220,50235180664.0625
26.10.2016 14:00:00.000 GMT+0200,1.09222,1.09464,1.09081,1.09152,59609981445.3125
26.10.2016 18:00:00.000 GMT+0200,1.09151,1.09195,1.09001,1.09012,25959310546.8751
26.10.2016 22:00:00.000 GMT+0200,1.09012,1.09118,1.09012,1.09095,7242120056.1524
27.10.2016 02:00:00.000 GMT+0200,1.09095,1.09111,1.08919,1.09001,19701150146.484398
27.10.2016 06:00:00.000 GMT+0200,1.09000,1.09138,1.08974,1.09097,30743169921.875
27.10.2016 10:00:00.000 GMT+0200,1.09097,1.09288,1.09068,1.09274,43248470703.125
27.10.2016 14:00:00.000 GMT+0200,1.09273,1.09422,1.09021,1.09035,54057959960.9375
27.10.2016 18:00:00.000 GMT+0200,1.09034,1.09070,1.08826,1.08977,26502270019.5313
27.10.2016 22:00:00.000 GMT+0200,1.08977,1.09011,1.08929,1.08970,7253329956.0546
28.10.2016 02:00:00.000 GMT+0200,1.08971,1.09113,1.08950,1.09079,11574589843.7501
28.10.2016 06:00:00.000 GMT+0200,1.09081,1.09247,1.08994,1.09161,25965170166.015602
28.10.2016 10:00:00.000 GMT+0200,1.09161,1.09220,1.09025,1.09209,44253120117.1875
28.10.2016 14:00:00.000 GMT+0200,1.09210,1.09500,1.09121,1.09337,57761080078.125
28.10.2016 18:00:00.000 GMT+0200,1.09337,1.09917,1.09334,1.09827,45925109375
28.10.2016 22:00:00.000 GMT+0200,1.09833,1.09898,1.09814,1.09824,3892969970.7031
30.10.2016 21:00:00.000 GMT+0100,1.09896,1.09912,1.09756,1.09820,8798259887.695301
